Diagnose 1,Diagnose 2,,p-values for RR
K21,F17,"1,57","1,257E-63"
M10,A41,"1,55","8,166E-115"
K30,K62,"1,38","1,187E-115"
M06,D64,"1,51","2,595E-239"
I70,L89,"3,5",0
K04,E86,"1,28","2,82E-12"
K80,C25,"1,95","7,555E-206"
E10,K59,"1,37",0
M06,L97,"2,64",0
E10,A49,"2,77",0
J43,J96,"9,23",0
N81,N99,"13,09",0
C62,C78,"16,38",0
M17,M19,"2,01",0
C53,E86,"1,68","1,77E-128"
E10,F03,"1,48","9,414E-294"
J45,J22,"3,11",0
M32,M81,"6,15",0
E11,J22,"1,63","2,693E-194"
J44,I27,"5,2",0
F10,F41,4,0
D37,C78,"3,52","7,652E-289"
L97,I46,"1,92","7,117E-78"
Q25,H65,"2,33","7,448E-188"
K62,F03,"1,12","1,447E-15"
Q54,N36,"56,44",0
F10,K02,"1,35","5,812E-59"
C43,D23,"7,52",0
E16,I46,"1,76","1,924E-42"
G20,A41,"1,41","8,26E-107"
E10,E87,"2,33",0
C50,M90,"8,47",0
J45,G47,"1,4","9,939E-97"
D27,K43,"1,48","2,808E-33"
E10,G63,"9,72",0
G45,D68,"2,44","3,272E-160"
K50,E86,"4,11",0
Q21,H66,"1,98","2,995E-204"
C34,C77,"4,94",0
E11,J90,"1,11","3,046E-14"
K20,E86,"1,63","1,544E-125"
M05,I50,"1,1","2,3E-18"
K70,K72,"32,92",0
M62,K30,"1,5","2,093E-210"
B27,J35,"2,09","1,434E-128"
C61,G55,"9,1",0
K50,M85,"3,43",0
L05,E66,"1,39","6,06E-44"
J45,A46,"1,31","3,36E-58"
M62,K25,"1,16","2,359E-14"
E11,F05,"1,31","1,001E-44"
G20,F02,"28,05",0
G40,E87,"2,78",0
G35,J96,"1,82","2,633E-209"
C54,C79,"2,24","5,795E-241"
G20,E86,"1,98",0
F10,I63,"1,35","1,887E-192"
C56,D64,"1,55","6,881E-267"
L40,J96,"1,28","3,172E-19"
C67,C77,"4,46",0
K51,M85,"1,91","3,891E-105"
N31,E86,"1,55","2,978E-45"
G40,I46,"1,36","4,119E-38"
E78,N17,"1,19","1,438E-19"
K22,E86,"1,49","1,116E-124"
K70,E86,"3,23",0
I25,D68,"1,54","5,987E-161"
E11,G96,"1,18","1,1E-15"
I10,K65,"1,09","9,09E-13"
I35,D68,"3,19",0
I64,J81,"1,22","7,781E-34"
C50,L81,"4,71",0
M06,L98,"2,73",0
C77,D63,"4,49",0
M48,N39,"1,2","4,53E-54"
I64,J69,"2,51","3,182E-257"
M05,M80,"2,72",0
I20,A08,"1,13","5,668E-12"
E11,A04,"1,36","2,518E-70"
K59,A41,"1,13","5,337E-28"
C61,N30,"1,22","3,792E-154"
C50,E83,"1,58","9,321E-106"
K30,K52,"1,64","2,589E-170"
H43,N18,"1,84","1,9E-123"
J44,A04,"1,37","5,863E-99"
M48,K59,"1,23","1,192E-60"
F10,N17,"1,92",2.470328e-322
E10,D63,"1,3","3,885E-93"
C43,I89,"6,96",0
M35,J18,"1,27","4,544E-142"
C32,J95,"29,35",0
K29,M81,"1,14","5,342E-22"
I73,D64,"1,09","5,49E-14"
D30,D09,"18,64",0
M62,G62,"1,42","5,292E-33"
C61,N13,"4,11",0
E14,E86,"1,44","3,117E-123"
N92,N99,"1,78","1,154E-95"
I25,N30,"1,03","3,998E-10"
K85,E13,"7,68",0
I70,F17,"2,05",1E-274
M54,M80,"3,02",0
F10,K74,"4,09",0
F10,J44,"1,63",0
A46,E86,"1,18","6,526E-33"
I25,E16,"1,34","6,141E-168"
F10,A49,"1,57","4,325E-196"
N87,N88,"11,96",0
K22,J96,"1,24","3,637E-24"
I70,J81,"1,86",0
E11,E64,"1,32",3E-44
M17,M48,"1,15","4,224E-51"
I21,E25,"2,54","2,73E-86"
E11,N08,"6,05",0
M81,J15,"1,43","3,593E-168"
I34,I46,"2,14","2,8E-102"
K05,E86,"1,58","1,588E-35"
J44,B37,"1,98",0
E10,H57,"2,31","1,923E-239"
F10,I64,"1,61",0
G40,K59,"1,26","5,052E-139"
I64,E64,"1,93","1,08E-128"
Q25,J20,"1,65","1,025E-57"
M06,M80,"2,5",0
J43,C34,"1,26","1,947E-19"
C34,D64,"1,11","1,596E-47"
E10,H26,"2,44",0
F10,D50,"1,91",0
I25,A04,"1,12","2,183E-12"
C50,J94,"3,33",0
F10,F60,"6,24",0
C50,M89,"1,37",4E-57
C53,C78,"3,84",0
C25,D63,"3,32",0
F10,K62,"1,14","2,669E-35"
F10,K65,"1,5","7,149E-132"
K80,C22,"1,38","1,598E-16"
M35,N30,"1,28","8,84E-108"
L97,A41,"2,18",0
H36,N39,"1,27","2,321E-33"
I20,I65,"1,68",0
J45,F17,"1,74","8,813E-193"
I50,L89,"1,1","3,696E-13"
E11,K72,"1,65","1,959E-188"
K51,A41,"1,37","1,103E-67"
K29,F17,"2,4","4,064E-291"
F10,B37,"1,9","4,069E-298"
M31,M85,"4,78",0
K58,F17,"1,38","1,008E-14"
K04,J96,"1,3","1,016E-12"
I47,D68,"1,57","2,561E-42"
M54,G62,"1,43","1,933E-88"
K40,F17,"1,54","1,778E-127"
E11,I70,"2,13",0
M62,M79,"1,98",0
C20,D64,"1,16","2,285E-37"
K30,F32,"1,4","3,954E-79"
C81,A41,"7,07",0
I64,E87,"1,15","4,026E-30"
M80,A41,"1,3","9,993E-53"
K81,K43,"2,68","2,205E-165"
E03,J96,"1,23","3,911E-34"
K44,M81,"1,15","9,759E-19"
L40,M81,"1,47","2,39E-70"
F10,C10,"1,65","1,123E-46"
I70,N18,"2,16",0
K50,K56,"11,84",0
F10,J69,"3,17",0
K85,E16,"1,68","1,468E-38"
C32,J96,"1,58","8,684E-68"
K50,K43,"4,14",0
I70,A49,"1,71","1,966E-195"
I20,I74,"1,11","1,083E-10"
F10,D62,"2,51",0
K80,E66,"1,88",0
F10,L08,"1,85",0
M62,I80,"1,13","0,000000001"
K62,C18,"2,55",0
C32,E86,"1,47","4,334E-49"
M05,L98,"2,54",0
I12,A41,"3,93",0
E11,J69,"1,16","8,841E-11"
I84,F17,"1,26","2,226E-21"
K26,K43,"1,64","2,203E-78"
E10,E12,"15,28",0
C82,A41,"4,44",0
I25,F01,"1,1","7,998E-11"
G40,F44,"17,2",0
N40,N45,"2,68",0
E84,J15,"66,29",0
M06,L89,"2,41","8,86E-204"
C53,K52,"3,33",0
D06,N88,"11,74","1,666E-295"
I25,I51,"2,67",0
K86,A41,"2,66",0
I64,D68,"2,01","2,562E-167"
I70,E70,"10,44",0
M67,J22,"1,58","2,74E-12"
M62,I95,"1,41","4,146E-20"
J45,F41,"1,77","2,536E-139"
C50,F43,"1,64","6,712E-104"
L08,F17,"1,35","6,655E-14"
I50,J96,"1,92",0
J20,J15,"2,07","1,832E-275"
H65,H52,"1,27","9,954E-16"
K21,K59,"1,79",0
C64,D63,"6,36",0
C09,K10,"26,23",0
L30,J96,"1,34","1,19E-19"
I20,I78,"3,01",0
F10,M80,"2,01",0
J43,I46,"1,39","2,293E-10"
C50,F41,"1,29","1,733E-41"
N63,L90,"1,33","5,318E-22"
N63,D05,"10,83",0
C53,A41,"2,03","2,629E-219"
F10,C13,"1,35","5,581E-16"
M81,L89,"1,29","1,618E-26"
I64,I65,"5,97",0
C53,N13,"13,9",0
M51,G62,"1,4","4,143E-82"
H25,E16,"1,39","5,411E-126"
Q21,A09,"1,57","1,48E-84"
N63,I89,"1,56","2,226E-20"
J20,J30,"1,8","5,332E-54"
N62,L90,"4,85",0
E11,E12,"6,1",0
M31,A41,"2,13","5,464E-276"
L40,J18,"1,18","3,821E-27"
M62,I11,"1,34","1,21E-14"
K80,F17,"2,18",0
F10,E64,"2,61",0
J42,K59,"1,34","1,497E-81"
E66,H36,"2,54",0
K86,E16,"7,32",0
I34,K04,"6,59",0
N20,A41,"1,47","3,067E-188"
M54,G95,"1,99","1,864E-159"
D64,A41,"1,61",0
E10,E34,"2,56","1,671E-298"
J42,J15,"2,83",0
I48,E87,"1,09","2,642E-32"
M23,M13,"1,17","2,837E-26"
M62,F41,"1,82","2,964E-99"
G20,L89,"2,68","9,257E-282"
N30,J69,"1,73","1,803E-79"
H34,I69,"1,47","1,717E-45"
L02,J22,"1,44","1,469E-13"
D50,A41,"1,29","1,645E-43"
G82,N31,"29,62",0
J44,F41,"2,38",0
I42,E86,"1,15","2,024E-11"
K80,C24,"3,93",0
C67,N19,"1,37","4,4E-94"
C50,J93,"1,88","5,822E-165"
C62,H91,"2,96",0
G40,N30,"1,68",0
C79,F41,"2,5","6,54E-241"
J00,J03,"1,99","4,757E-246"
K29,K56,"1,17","5,29E-14"
I35,N17,"2,18","6,136E-273"
M05,L97,"2,38",0
M54,F41,"1,2","2,129E-16"
D48,C78,"2,22","1,563E-135"
E66,N17,"1,84","2,962E-125"
K50,A41,"2,64",0
E03,I46,"1,37","1,373E-17"
C73,E89,"38,32",0
L02,L97,"3,73",0
J42,D64,"1,11","5,432E-15"
J45,I80,"1,12","2,061E-13"
H66,J35,"1,79",0
I70,D50,"1,22","1,634E-42"
K29,N17,"1,35","3,927E-19"
C18,N13,"2,65",0
G20,J15,"1,52","7,197E-129"
N03,K65,"17,27",0
I10,I12,"3,42",0
I48,E55,"1,3","2,351E-52"
Q90,B34,"2,73","7,557E-229"
F10,M79,"1,06","1,557E-14"
E14,A41,"2,15",0
L40,D64,"1,17","1,274E-11"
G45,I73,"1,22","1,198E-29"
I15,A41,"2,57",0
E11,E34,"2,3","2,217E-290"
H36,J18,"1,09","8,433E-11"
C56,K59,"1,66",0
I69,L89,"2,17",0
I50,D68,"1,83","6,776E-229"
I20,K21,"1,46",0
C15,E86,"1,92","1,326E-292"
G71,J96,"30,88",0
I10,E25,"1,57","2,497E-54"
I48,N19,"1,1","5,162E-37"
A15,B90,"162,84",0
M35,L97,"1,29","1,962E-22"
N18,N25,"40,96",0
M05,L89,"2,52","9,494E-214"
C50,I42,"1,16","4,957E-13"
M80,J96,"1,88",0
I20,E50,"1,78","8,237E-71"
G35,J69,"11,46",0
N95,C55,"4,95","2,435E-137"
N18,I46,"3,06",0
M35,K59,"1,14","7,682E-17"
